refnis,score_imat
62063,2
53083,5
45062,3
44013,2
36019,3
25119,5
24016,2
23103,2
23052,2
21017,2
11055,3
82037,5
82003,4
81001,4
11052,4
11004,2
62079,4
61012,5
31043,4
73107,3
63076,5
63035,5
63012,5
56016,4
42011,2
37017,4
23077,2
23064,2
71053,3
21006,1
13004,3
63073,4
11018,2
11009,3
91054,4
85007,5
56029,5
55085,5
46003,3
41027,2
37018,3
33041,2
23104,2
23024,3
13003,3
11024,4
92114,4
58002,4
53065,3
73006,3
24066,4
72037,4
85047,4
52015,4
52011,2
51068,4
51008,4
42026,2
41082,3
38016,3
31022,3
31003,3
92048,5
57027,4
34027,2
73009,3
25091,4
25068,4
24086,2
21005,1
92140,4
63061,4
63045,5
53070,4
53039,4
52010,4
51019,5
42025,2
37012,4
25107,4
24134,3
12035,2
83013,5
82036,4
62118,4
58001,3
57096,3
44085,3
25105,3
64075,4
64056,5
64029,5
11053,3
93090,4
91064,5
84029,4
63023,4
42003,3
37020,3
33039,4
32011,3
25122,5
25043,5
23081,3
23025,2
13036,2
13014,3
13012,3
82032,4
72041,4
64015,4
24059,2
61063,5
57018,5
45035,3
23047,5
73001,4
73032,4
11035,3
91120,5
91072,5
91015,4
85034,4
84050,4
61028,4
51014,4
45065,3
41063,3
24014,2
23002,2
62051,3
57062,4
33016,2
23101,3
21011,1
63046,4
61024,4
52055,4
51017,4
46021,2
45060,3
41081,2
35014,3
32030,2
23060,2
23039,2
13016,4
63086,5
62121,5
64076,5
91034,3
91030,4
91005,5
61068,5
55040,3
52048,5
52021,4
51069,3
51004,4
44045,2
44043,3
42010,3
37002,3
25123,4
63088,4
58003,5
57093,4
56051,4
44064,5
44048,4
43014,3
34025,2
31004,1
64063,5
23102,2
13029,3
72043,3
11039,4
11025,2
11016,3
62009,5
53082,3
45061,4
42004,2
36012,3
32006,3
31042,4
11057,3
73109,4
24062,5
45041,2
36011,3
21008,1
71066,3
11040,3
62032,5
61039,5
51065,4
37010,3
37007,3
35002,2
25005,4
24135,3
24009,2
21003,1
13017,3
12009,2
11001,5
92094,3
63040,4
61081,5
61019,5
57003,4
43018,2
25110,5
11023,3
11013,2
11005,1
93056,5
91059,4
62026,4
56044,5
44052,2
43010,3
34003,2
33021,2
23100,4
23032,3
23023,3
12029,3
83012,4
53068,3
46024,3
24033,2
24020,2
23105,2
63072,4
11044,2
92006,5
91143,4
85046,4
84016,4
63020,2
51009,4
43002,3
23097,2
12026,2
82005,5
72018,4
71070,3
71037,4
11050,4
24055,5
62119,5
56078,5
31040,3
24028,3
63080,4
91013,4
51067,3
23050,3
13019,3
83028,4
73098,4
73066,3
24054,3
92097,5
53020,3
21007,1
13046,2
71034,3
64025,5
46014,2
41018,2
25031,5
13021,3
63004,5
61003,4
57095,4
45059,3
44073,2
38008,2
34023,2
24041,2
24038,2
23098,2
72039,3
11029,1
91141,4
84033,4
83044,4
61080,4
41024,2
23096,2
23045,2
21010,1
72004,4
61010,5
57081,4
57072,4
44083,3
44040,2
13037,2
13006,3
92003,4
83055,5
62027,5
61043,5
56022,4
55035,5
53053,5
44021,1
33040,3
23027,3
13001,4
82009,5
71020,3
92087,5
57097,4
44012,2
31033,3
25084,4
24045,2
21019,3
13023,2
91114,4
85039,5
85011,4
84035,4
84010,4
63049,4
62060,5
62022,5
56005,5
44020,3
44019,2
35011,2
31005,2
24008,3
21014,5
21004,5
21001,1
13010,4
12025,1
12021,2
11054,4
71022,3
56049,4
64023,5
84075,4
83049,5
83040,4
61072,4
61041,5
55004,3
53044,4
44034,3
36007,3
25117,4
25014,4
24137,4
23016,2
13008,3
73083,5
72030,3
71004,3
63001,5
62122,5
57064,5
52075,5
43007,3
21002,2
73042,4
64047,4
64021,5
93088,5
92141,4
92138,5
91142,4
84009,4
63067,5
45068,5
45063,3
42006,2
36015,3
25120,4
25112,5
25018,5
23044,2
13049,3
13040,2
12041,3
71057,4
11008,3
63003,5
44084,3
34043,4
25050,4
23094,5
71002,4
11021,2
93022,4
92142,4
91103,5
85024,5
84059,4
63038,5
63013,4
52025,5
41002,2
37015,3
35029,3
35006,3
34042,3
33011,3
25023,4
24107,2
24001,3
13044,2
12007,5
72038,3
71069,3
92045,4
57094,4
24104,2
21018,2
11037,2
85045,4
42008,2
38025,3
38002,3
37011,4
33037,3
31012,4
23038,3
72021,3
63087,5
62099,5
56088,5
52074,4
46025,2
44081,3
24094,3
73040,3
11030,3
92101,5
84077,4
84068,5
63057,5
62038,4
55086,3
55050,4
53046,4
45064,3
41034,2
35005,2
33029,2
24130,3
12005,2
71045,4
71011,4
11002,1
43005,2
34041,3
24043,2
21016,3
13035,4
71067,4
64065,5
63084,4
11022,3
93014,4
62015,3
52012,3
41011,1
38014,4
34022,4
31006,4
25048,4
25044,4
25037,4
24011,2
23086,2
