refnis,score tram
"62063",1
"53083",1
"45062",1
"44013",1
"36019",1
"25119",1
"24016",1
"23103",4
"23052",1
"21017",4
"11055",1
"82037",1
"82003",1
"81001",1
"11052",3
"11004",3
"62079",1
"61012",1
"31043",3
"73107",1
"63076",1
"63035",1
"63012",1
"56016",1
"42011",1
"37017",1
"23077",1
"23064",1
"71053",1
"21006",4
"13004",1
"63073",1
"11018",1
"11009",1
"91054",1
"85007",1
"56029",1
"55085",1
"46003",3
"41027",1
"37018",1
"33041",1
"23104",1
"23024",1
"13003",1
"11024",1
"92114",1
"58002",1
"53065",1
"73006",1
"24066",1
"72037",1
"85047",1
"52015",1
"52011",4
"51068",1
"51008",1
"42026",1
"41082",1
"38016",3
"31022",1
"31003",1
"92048",1
"57027",1
"34027",1
"73009",1
"25091",1
"25068",1
"24086",1
"21005",5
"92140",1
"63061",1
"63045",1
"53070",1
"53039",1
"52010",1
"51019",1
"42025",1
"37012",1
"25107",1
"24134",1
"12035",1
"83013",3
"82036",1
"62118",1
"58001",1
"57096",1
"44085",1
"25105",1
"64075",1
"64056",1
"64029",1
"11053",1
"93090",1
"91064",1
"84029",1
"63023",1
"42003",1
"37020",1
"33039",1
"32011",1
"25122",1
"25043",1
"23081",1
"23025",1
"13036",1
"13014",1
"13012",1
"82032",1
"72041",1
"64015",1
"24059",1
"61063",1
"57018",1
"45035",1
"23047",1
"73001",1
"73032",1
"11035",1
"91120",1
"91072",1
"91015",1
"85034",1
"84050",1
"61028",1
"51014",1
"45065",1
"41063",1
"24014",1
"23002",1
"62051",1
"57062",1
"33016",1
"23101",1
"21011",5
"63046",1
"61024",1
"52055",1
"51017",1
"46021",1
"45060",1
"41081",1
"35014",1
"32030",1
"23060",1
"23039",1
"13016",1
"63086",1
"62121",1
"64076",1
"91034",1
"91030",1
"91005",1
"61068",1
"55040",1
"52048",1
"52021",1
"51069",1
"51004",1
"44045",1
"44043",1
"42010",1
"37002",1
"25123",1
"63088",1
"58003",1
"57093",1
"56051",1
"44064",1
"44048",1
"43014",1
"34025",1
"31004",4
"64063",1
"23102",1
"13029",1
"72043",1
"11039",1
"11025",1
"11016",1
"62009",1
"53082",1
"45061",1
"42004",1
"36012",1
"32006",1
"31042",1
"11057",1
"73109",1
"24062",1
"45041",1
"36011",1
"21008",4
"71066",1
"11040",1
"62032",1
"61039",1
"51065",1
"37010",1
"37007",1
"35002",3
"25005",1
"24135",1
"24009",1
"21003",5
"13017",1
"12009",1
"11001",1
"92094",1
"63040",1
"61081",1
"61019",1
"57003",1
"43018",1
"25110",1
"11023",1
"11013",1
"11005",1
"93056",1
"91059",1
"62026",1
"56044",3
"44052",1
"43010",1
"34003",1
"33021",1
"23100",1
"23032",1
"23023",1
"12029",1
"83012",1
"53068",1
"46024",1
"24033",1
"24020",1
"23105",1
"63072",1
"11044",1
"92006",1
"91143",1
"85046",1
"84016",1
"63020",1
"51009",1
"43002",1
"23097",1
