Refnis,Lieu de résidence,Population,Superficie en km²,Density
01000,Belgique,11697557,30689.173026,381.162339893935
02000,Région flamande,6774807,13625.537137,497.213939669438
03000,Région wallonne,3681575,16901.216103,217.828999852059
04000,Région de Bruxelles-Capitale,1241175,162.41978600000002,7641.772166846719
10000,Province d’Anvers,1910952,2876.115552,664.421149098533
11000,Arrondissement d’Anvers,1078084,1004.256109,1073.51500313353
11001,Aartselaar,14752,11.018925999999999,1338.78746440443
11002,Anvers,538910,204.316171,2637.62773823713
11004,Boechout,13806,20.707945,666.700631086281
11005,Boom,19062,7.381599,2582.36731634975
11007,Borsbeek,11309,3.901301,2898.7765876050103
11008,Brasschaat,38575,38.579862,999.873975702661
11009,Brecht,30387,91.46369,332.230199765612
11013,Edegem,22761,8.717261,2611.02655983342
11016,Essen,19629,47.569937,412.634559511819
11018,Hemiksem,12105,5.4804330000000006,2208.76708099524
11021,Hove (Anvers),8444,6.017989,1403.1265261535
11022,Kalmthout,19422,59.409054,326.919866456719
11023,Kapellen (Anvers),27743,37.222532,745.328125448317
11024,Kontich,21624,23.800394999999998,908.556349589996
11025,Lint,8548,5.650621999999999,1512.75381719039
11029,Mortsel,26391,7.784291,3390.28949457311
11030,Niel,10799,5.346405999999999,2019.86156681704
11035,Ranst,19609,43.673128,448.994631206631
11037,Rumst,15417,20.150267,765.10152446119
11038,Schelle,8662,7.825512,1106.8924308083601
11039,Schilde,20293,36.089103,562.302698407328
11040,Schoten,34360,29.510137,1164.34566196694
11044,Stabroek,18837,21.422149,879.3235449907479
11050,Wijnegem,10432,7.883555,1323.2608892815501
11052,Wommelgem,13230,12.993605,1018.19318041452
11053,Wuustwezel,21644,89.410502,242.074471296448
11054,Zandhoven,13352,40.098437,332.98055981583497
11055,Zoersel,22427,38.684908,579.735125646415
11056,Zwijndrecht,19547,20.244835000000002,965.5302204241231
11057,Malle,16007,51.901557000000004,308.410786212059
12000,Arrondissement de Malines,356300,511.827092,696.1335294068409
12002,Berlaar,11949,24.525953,487.198193684869
12005,Bonheiden,15458,29.190868000000002,529.5491727070261
12007,Bornem,21982,46.187102,475.93373578623704
12009,Duffel,17982,22.598180000000003,795.727797548298
12014,Heist-op-den-Berg,44226,86.672458,510.26590246234804
12021,Lierre,37909,49.852894,760.41723876652
12025,Malines,88614,65.78746,1346.97402818105
12026,Nijlen,23409,39.195345,597.239289512568
12029,Putte,18631,35.158102,529.920528702033
12035,Sint-Katelijne-Waver,21595,36.155348,597.283699219269
12040,Willebroek,27773,27.365927000000003,1014.87517671154
12041,Puurs-Sint-Amands,26772,49.137455,544.838962457457
13000,Arrondissement de Turnhout,476568,1360.0323509999998,350.40931169732204
13001,Arendonk,13344,55.152007999999995,241.949486227229
13002,Baerle-Duc,3012,7.414242000000001,406.24516976920904
13003,Balen,23308,72.987728,319.341355576927
