refnis,km/j/pers,imat_communes_IMAT,int_moy,total_Mkm
62063,54,77911,5,1535.62581
53083,54,2943,1,11.601306
45062,48,1070,2,7.49856
44013,48,9601,3,100.925712
36019,48,6000,2,42.048
25119,54,9857,3,116.568882
24016,48,4254,3,44.718048
23103,48,6706,4,93.991296
23052,48,8588,3,90.277056
21017,59,9957,5,214.423995
11055,48,12122,2,84.950976
82037,54,3012,2,23.746608
82003,54,8957,1,35.308494
81001,54,15856,3,187.513056
11052,48,7648,4,107.194368
11004,48,6498,4,91.075968
62079,54,13437,4,211.874616
61012,54,2718,1,10.714356
31043,48,18675,4,261.7488
73107,48,21361,2,149.697888
63076,54,6935,2,54.67554
63035,54,10556,3,124.835256
63012,54,3109,1,12.255678
56016,54,5150,1,20.3013
42011,48,9925,4,139.1088
37017,48,5617,3,59.045904
23077,48,16082,4,225.405312
23064,48,2297,1,8.048688
71053,48,21834,4,306.025344
21006,59,14195,5,305.689325
13004,48,9427,2,66.064416
63073,54,3859,1,15.212178
11018,48,5259,4,73.710144
11009,48,16605,3,174.55176
91054,54,2559,1,10.087578
85007,54,2915,1,11.49093
56029,54,2318,1,9.137556
55085,54,6321,2,49.834764
46003,48,25692,4,360.099072
41027,48,9394,3,98.749728
37018,48,8201,2,57.472608
33041,48,1816,1,6.363264
23104,48,4728,3,49.700736
23024,48,4888,2,34.255104
13003,48,12390,3,130.24368
11024,48,12214,4,171.191424
92114,54,4532,2,35.730288
58002,54,17315,4,273.02292
53065,54,8878,4,139.988304
73006,48,17916,4,251.110656
24066,48,8367,3,87.953904
72037,48,8152,3,85.693824
85047,54,1167,1,4.600314
52015,54,15596,4,245.917728
52011,54,88122,5,1736.88462
51068,54,4595,2,36.22698
51008,54,7778,3,91.982628
42026,48,6035,4,84.58656
41082,48,10735,4,150.46176
38016,48,5970,3,62.75664
31022,48,12768,3,134.217216
31003,48,8297,3,87.218064
92048,54,6119,2,48.242196
57027,54,5766,3,68.188716
34027,48,16758,5,293.60016
73009,48,6235,2,43.69488
25091,54,11991,4,189.074088
25068,54,4500,3,53.217
24086,48,5278,1,18.494112
21005,59,13429,5,289.193515
92140,54,10294,4,162.315792
63061,54,6026,3,71.263476
63045,54,2018,2,15.909912
53070,54,12831,3,151.739406
53039,54,3611,2,28.469124
52010,54,7473,3,88.375698
51019,54,1911,1,7.533162
42025,48,12898,4,180.778368
37012,48,3103,3,32.618736
25107,54,5839,3,69.052014
