refnis,int_moy
62063,5
53083,1
45062,2
44013,3
36019,2
25119,3
24016,3
23103,4
23052,3
21017,5
11055,2
82037,2
82003,1
81001,3
11052,4
11004,4
62079,4
61012,1
31043,4
73107,2
63076,2
63035,3
63012,1
56016,1
42011,4
37017,3
23077,4
23064,1
71053,4
21006,5
13004,2
63073,1
11018,4
11009,3
91054,1
85007,1
56029,1
55085,2
46003,4
41027,3
37018,2
33041,1
23104,3
23024,2
13003,3
11024,4
92114,2
58002,4
53065,4
73006,4
24066,3
72037,3
85047,1
52015,4
52011,5
51068,2
51008,3
42026,4
41082,4
38016,3
31022,3
31003,3
92048,2
57027,3
34027,5
73009,2
25091,4
25068,3
24086,1
21005,5
92140,4
63061,3
63045,2
53070,3
53039,2
52010,3
51019,1
42025,4
37012,3
25107,3
24134,4
12035,3
83013,2
82036,2
62118,3
58001,5
57096,5
44085,3
25105,4
64075,1
64056,2
64029,2
11053,2
93090,1
91064,1
84029,1
63023,3
42003,3
37020,3
33039,2
32011,3
25122,1
25043,1
23081,3
23025,3
13036,1
13014,1
13012,3
82032,2
72041,2
64015,1
24059,4
61063,2
57018,2
45035,4
23047,5
73001,4
73032,3
11035,2
91120,1
91072,2
91015,1
85034,1
84050,1
61028,1
51014,2
45065,2
41063,3
24014,4
23002,3
62051,5
57062,2
33016,1
23101,3
21011,5
63046,2
61024,1
52055,3
51017,2
46021,4
45060,1
41081,4
35014,2
32030,2
23060,4
23039,4
13016,4
63086,2
62121,3
64076,1
91034,2
91030,2
91005,2
61068,3
55040,3
52048,3
52021,4
51069,3
51004,4
44045,1
44043,4
42010,4
37002,2
25123,3
63088,3
58003,2
57093,2
56051,1
44064,3
44048,4
43014,2
34025,3
31004,5
64063,3
23102,4
13029,3
72043,4
11039,3
11025,4
11016,3
62009,2
53082,3
45061,2
42004,3
36012,3
32006,2
31042,2
11057,2
73109,2
24062,5
45041,3
36011,3
21008,5
71066,2
11040,4
62032,4
61039,1
51065,2
37010,2
37007,3
35002,5
25005,2
24135,3
24009,3
21003,5
13017,3
12009,4
11001,5
92094,4
63040,2
61081,2
61019,1
57003,2
43018,3
25110,5
11023,3
11013,4
11005,4
93056,2
91059,1
62026,2
56044,3
44052,2
43010,4
34003,2
33021,3
23100,3
23032,2
23023,2
12029,3
83012,2
53068,2
46024,2
24033,4
24020,4
23105,3
63072,3
11044,4
92006,1
91143,1
85046,2
84016,1
63020,3
51009,3
43002,2
23097,2
12026,3
82005,1
72018,2
71070,3
71037,3
11050,4
24055,5
62119,3
56078,3
31040,4
24028,3
63080,2
91013,1
51067,2
23050,3
13019,3
83028,2
73098,3
73066,2
24054,2
92097,1
53020,3
21007,5
13046,3
71034,4
64025,1
46014,4
41018,3
25031,3
13021,2
63004,1
61003,3
57095,2
45059,2
44073,1
38008,4
34023,3
24041,1
24038,3
23098,5
72039,2
11029,5
91141,2
84033,1
83044,1
61080,3
41024,3
23096,3
23045,4
21010,5
72004,2
61010,2
57081,5
57072,2
44083,4
44040,5
13037,2
13006,3
92003,3
83055,2
62027,3
61043,2
56022,3
55035,2
53053,5
44021,5
33040,1
23027,4
13001,1
82009,1
71020,3
92087,1
57097,2
44012,4
31033,4
25084,1
24045,2
21019,5
13023,2
91114,3
85039,2
85011,1
84035,1
84010,1
63049,1
62060,3
62022,4
56005,1
44020,4
44019,4
35011,2
31005,5
24008,3
21014,5
21004,5
21001,5
13010,3
12025,4
12021,3
11054,2
71022,5
56049,2
64023,2
84075,1
83049,1
83040,1
61072,3
61041,1
55004,3
53044,3
44034,4
36007,4
25117,2
25014,4
24137,3
23016,5
13008,5
73083,5
72030,2
