refnis,pop_densit,Distance T,nb_poi_sco,score_pent,score_dens,score_tram,score_bus_score_bus,score_imat_score_imat
62063,"2845.5281532939503",4,5,2,5,1,"4","2"
53083,"116.28393935833199",2,1,4,1,1,"2","5"
45062,"181.020772222523",2,1,4,2,1,"2","3"
44013,"715.114617928381",3,3,4,4,1,"3","2"
36019,"248.615887279321",2,2,5,2,1,"2","3"
25119,"300.90917964732097",2,2,3,3,1,"2","5"
24016,"273.826616660046",5,2,4,2,1,"3","2"
23103,"2128.22435167684",3,2,4,5,4,"4","2"
23052,"480.73251712142104",3,3,4,3,1,"2","2"
21017,"1958.03246731215",3,4,2,5,4,"3","2"
11055,"579.735125646415",1,3,3,3,1,"2","3"
82037,"33.159216703464",3,2,2,1,1,"1","5"
82003,"97.0085723444043",1,3,3,1,1,"2","4"
81001,"262.240293749445",4,4,2,2,1,"3","4"
11052,"1018.19318041452",2,2,4,5,3,"3","4"
11004,"666.700631086281",4,2,4,4,3,"3","2"
62079,"711.835930712456",3,4,4,4,1,"3","4"
61012,"60.9553645223879",1,1,3,1,1,"2","5"
31043,"530.0055984631799",4,4,5,3,3,"1","4"
73107,"519.379887428307",1,4,4,3,1,"2","3"
63076,"143.415261717399",3,3,1,1,1,"2","5"
63035,"313.900153994398",2,3,3,3,1,"3","5"
63012,"36.5692022209518",1,2,2,1,1,"1","5"
56016,"48.92257396425",1,2,3,1,1,"2","4"
42011,"729.783655864135",3,3,5,4,1,"3","2"
37017,"456.919617056367",3,2,5,3,1,"2","4"
23077,"886.506293255357",3,4,4,4,1,"3","2"
23064,"127.114110562501",2,1,4,1,1,"3","2"
71053,"386.050561971823",4,4,4,3,1,"3","3"
21006,"8635.40839403453",5,4,4,5,4,"5","1"
13004,"492.9381048971",2,2,4,3,1,"2","3"
63073,"85.12034374571141",2,2,1,1,1,"1","4"
11018,"2208.76708099524",4,2,4,5,1,"4","2"
11009,"332.230199765612",3,3,4,3,1,"2","3"
91054,"30.9185513643903",2,2,2,1,1,"1","4"
85007,"46.2377109299671",1,3,2,1,1,"1","5"
56029,"46.832037953154995",1,1,3,1,1,"1","5"
55085,"180.650420548534",2,2,4,2,1,"2","5"
46003,"329.437536884478",2,4,5,3,3,"2","3"
41027,"390.670060002663",3,2,4,3,1,"3","2"
37018,"219.42819163914803",1,3,5,2,1,"1","3"
33041,"93.6083997971982",2,1,5,1,1,"1","2"
23104,"303.014705546882",2,3,4,3,1,"3","2"
23024,"234.44520238778003",2,2,4,2,1,"3","3"
13003,"319.341355576927",2,3,4,3,1,"2","3"
11024,"908.556349589996",3,4,4,4,1,"3","4"
92114,"235.123604434267",2,2,4,2,1,"2","4"
58002,"549.623851737949",4,4,4,3,1,"3","4"
53065,"1694.68058000969",3,3,4,5,1,"3","3"
73006,"429.64304867515904",4,3,4,3,1,"3","3"
24066,"329.302079015582",2,3,4,3,1,"3","4"
72037,"330.623870183595",3,2,4,3,1,"2","4"
85047,"76.20095155448871",3,1,2,1,1,"2","4"
52015,"702.954944179327",3,3,4,4,1,"3","4"
52011,"1979.4986938135298",4,5,3,5,4,"4","2"
51068,"122.78764230169",2,2,4,1,1,"2","4"
51008,"229.489159443797",3,2,4,2,1,"3","4"
42026,"515.583911712721",5,3,5,3,1,"3","2"
41082,"605.695103203698",3,3,4,4,1,"3","3"
38016,"345.303649537797",2,3,5,3,3,"1","3"
31022,"302.023033899003",3,3,4,3,1,"2","3"
31003,"222.73600060534",3,3,4,2,1,"2","3"
92048,"165.120442907589",2,2,3,2,1,"2","5"
57027,"331.09034327728597",2,2,5,3,1,"3","4"
34027,"1034.9323282048401",3,5,4,5,1,"3","2"
73009,"223.19844126236399",2,2,4,2,1,"2","3"
25091,"1316.33511802142",4,3,3,5,1,"4","4"
25068,"446.527658652703",3,2,3,3,1,"3","4"
24086,"370.239682170479",3,2,3,3,1,"2","2"
21005,"15612.7675755475",5,5,3,5,5,"4","1"
92140,"410.218441906128",4,3,3,3,1,"3","4"
63061,"152.707445043483",2,3,3,2,1,"2","4"
63045,"39.386736918657",2,2,1,1,1,"2","5"
53070,"335.26866871293197",2,4,4,3,1,"3","4"
53039,"257.340488840161",3,2,5,2,1,"2","4"
52010,"813.7882623566361",3,3,4,4,1,"3","4"
51019,"147.01822381535402",2,2,3,1,1,"1","5"
