refnis,moyenne_evitees,ci_2.5,ci_97.5
62063,44315.69845254697,42159.583220451284,46513.239550555336
53083,1063.3608615691192,984.1738360704358,1145.7337098390958
45062,349.3539145668613,332.15722055059604,367.7858154264619
44013,4377.004387308853,4203.891919229349,4552.6804970531575
36019,2202.6444083935316,2097.250493998578,2320.9666918075095
25119,4240.070412632224,4017.0602429042574,4469.4836776511365
24016,1812.6243876311473,1711.31678902846,1917.1899136053892
23103,3490.7444995503397,3354.271806516433,3624.673071594921
23052,3488.0485592849022,3353.406648068363,3626.0361644146606
21017,5316.383090518389,5127.669674515249,5505.307998326851
11055,4551.476849338396,4346.862380568721,4762.637259008533
82037,1113.6237183545568,1035.4861329766168,1192.4300832811052
82003,3185.1796905939345,2994.5160584129317,3384.688060249852
81001,7914.648629207864,7577.565746067555,8256.149433873896
11052,3942.562754110572,3789.393468869037,4092.065928713937
11004,3124.0144281861194,3021.569701918734,3225.323124707542
62079,7328.999089364838,7074.209523522713,7594.205002942683
61012,885.2354355294608,813.4971812997508,959.3456162471547
31043,10015.287945116726,9614.508274248243,10414.461389754011
73107,8887.903040793288,8424.463628518779,9368.8993077761
63076,2869.401338308254,2689.116419108857,3052.2509087683998
63035,5118.813574991324,4888.97092869458,5356.314019757887
63012,994.7152474439939,914.5156482353884,1077.7639209930246
56016,1677.527284928225,1575.0716397035972,1785.8066390819681
42011,4631.247842305814,4426.040579940942,4838.702126645357
37017,2509.016427065472,2392.955454421836,2635.654851724046
23077,7812.070879372745,7491.894409891138,8135.106246305579
23064,681.5240932627698,640.6955730457663,723.3075294582617
71053,11258.503800150338,10857.81582321477,11659.434536336865
21006,8873.631596804124,8512.719410295485,9222.299874893533
13004,3593.7892994596564,3452.4206171885394,3745.3259126487424
63073,1174.1754281416918,1099.7319985560796,1250.44225015852
11018,2632.885447169155,2499.1709703171164,2771.558670329806
11009,7239.587647267328,6984.061733143819,7502.743489808103
91054,806.0935752089093,757.5361379893212,856.0215665192519
85007,1019.7294520298229,940.4773602004879,1102.278903170483
56029,697.2696771855822,634.640718991901,762.060351302819
55085,2629.805894697294,2480.860210748281,2786.772756711559
46003,12372.350760669913,11946.570083397955,12807.893532743716
41027,3768.5575906664417,3620.7305448227494,3921.230106917911
37018,2847.4178105766455,2661.995372309137,3047.5285058496647
33041,467.91353175426946,432.72387475394635,507.35791291828264
23104,1920.2765902373176,1845.6818106894286,1996.0608194250422
23024,1863.6013058909493,1788.769536130668,1941.2854570692687
13003,5093.49709361319,4898.969808967221,5301.332693145454
11024,6661.933086068455,6430.333788814945,6903.000662792434
92114,1750.2948830131363,1666.9400010903555,1839.1035100660206
58002,9444.909422717612,9110.050122563462,9784.038494255748
53065,4532.882387886826,4348.065643724166,4725.919157853704
73006,8702.992637949783,8404.09584416505,9012.569818481361
24066,3897.508970720241,3747.622431336206,4057.1117138959185
72037,3553.853374260654,3404.14674233545,3712.212599281521
85047,390.8364921730322,366.69689941936093,415.2465733983378
52015,8040.670086219272,7760.12649538197,8339.008070067828
52011,55016.3911407057,53372.43179226553,56638.905114024754
51068,1660.4420494883382,1564.9269082002434,1759.7673161530336
51008,3391.100161551808,3245.475956543067,3544.3108482786442
42026,2966.5455522856673,2820.37006589718,3119.9624835739037
41082,5214.259124885249,5034.868931909062,5399.365059798528
38016,2548.012829787187,2435.9927780604153,2660.898254729304
31022,5566.700095170705,5370.219825882583,5769.047207339348
31003,3411.2187043585336,3279.8508802515826,3546.9856612461385
92048,2480.083927855606,2343.430137063321,2622.432790655118
57027,2575.549671719344,2456.134029768175,2705.8569660322987
34027,9057.513114765872,8615.9613879504,9498.78400248432
73009,2221.988161976166,2134.8425079546905,2318.475032867552
25091,6948.22639960639,6679.981055541502,7226.471540524022
25068,2025.4578406953062,1949.9268873742803,2103.6365791033513
24086,1929.3483686094537,1862.05765208149,1999.5785293163653
21005,8518.099505619879,8151.938498681738,8872.541380546596
92140,5197.1024423987155,5014.670439673039,5384.496234780094
63061,2442.6298638177714,2338.4763803243736,2550.536626077884
63045,724.4440275027572,674.4246941408354,775.4710506131894
53070,6360.244370609812,6107.492966710397,6625.165473585349
53039,1523.2391094495683,1446.4110558543264,1604.964309680618
52010,3852.7781196663714,3718.3524814048137,3995.7301428325773
51019,679.4980888042094,630.1543240297582,729.4850412779264
42025,6724.886612791888,6427.223305400494,7019.7269907053005
37012,1324.4114937298236,1257.5439409387716,1395.7151130505151
25107,2574.821265568744,2465.590259810018,2689.9564383035968
24134,6653.8304038261185,6417.021864191784,6890.782415356366
12035,4698.776438615361,4531.457705338544,4871.083680049032
83013,724.2853527533374,674.1642395764758,775.7406766577659
82036,1173.1503627631382,1102.926032902117,1246.632344620326
62118,5479.766490929454,5234.598266230193,5733.435848252317
58001,22358.492852689975,21436.489177149306,23298.501587090956
57096,16106.540312954274,15481.849000783333,16748.58107595189
44085,6257.481010523827,5963.980020118149,6568.423169198915
25105,6861.6592536394355,6617.646176631697,7113.860416027371
