simulation,pass_km_total_Mkm
0,71319.82698837809
1,71384.40047757133
2,72384.15758341004
3,70222.5375516926
4,70615.48511276138
5,70787.23248206648
6,70631.47929308456
7,70860.33589892152
8,71401.75202687888
9,70563.83095938084
10,72152.15393305507
11,71128.1803522461
12,70841.32945928728
13,70799.88213330858
14,71223.66516169466
15,71691.6103361292
16,72286.67300188442
17,71281.93692687555
18,71925.79990876996
19,70799.22640552245
20,69684.54933739715
21,72354.60371019098
22,70890.15906918139
23,70702.5471380777
24,70177.39373070575
25,70805.14002392486
26,70514.78826058967
27,71666.70634367697
28,71408.0418220373
29,68508.42133634808
30,70412.5728072655
31,70495.08659570376
32,69339.42478348853
33,70885.59261569443
34,70927.0529546827
35,71492.15198019285
36,70589.61899699585
37,71537.86779701426
38,71600.07372726618
39,70349.13112821216
40,71656.28543393347
41,69123.89675086802
42,70689.962076611
43,71480.1853485736
44,72530.60919759524
45,71365.19316549636
46,70599.04608835925
47,71844.3324951273
48,71063.27202035114
49,70877.72520098541
50,72416.76507176303
51,69856.86551677457
52,70392.894444936
53,71524.62903480417
54,71449.97581715712
55,71741.81446944934
56,69346.8237116896
57,70336.46541139366
58,71148.91848421212
59,71316.42901387317
60,72134.86842300679
61,70295.67563159835
62,70369.52363814444
63,70144.0540756001
64,69899.45621802751
65,71526.35860421264
66,69991.23743424816
67,72974.33563592291
68,71118.86706777356
69,70896.64398958896
70,71807.78467819023
71,70896.55038228015
72,71478.2056088478
73,71285.59360679767
74,69515.72131157975
75,69475.64524914057
76,69716.95599010207
77,72182.03958896703
78,71230.76007352328
79,71453.46620936296
80,71070.06015551738
81,71032.1575198168
82,69626.55919989053
83,72121.62473520495
84,69877.53433278957
85,71506.69586349983
86,71127.91283897452
87,71918.29005847756
88,71419.92745501883
89,69640.12774164382
90,69720.13198067706
91,70216.82501423151
92,70476.64130140979
93,70753.06369535973
94,70163.49884891052
95,70564.7587407232
96,68900.17400152642
97,71280.91835385001
98,70022.76517929173
99,70198.13689030326
100,70653.46765438278
101,69028.22319522825
102,70480.8972467505
103,69670.3009541242
104,71523.57134797798
105,71253.76272206323
106,71188.289249911
107,71382.81472650288
108,72738.90502034115
109,70803.96717433716
110,69865.66921285061
111,69752.05511324941
112,70747.7202406831
113,70832.53251758682
114,70836.55612426953
115,71857.53805029114
116,71557.68904449543
117,69568.14250450095
118,70869.61127547835
119,70692.5528707438
120,70579.27719543152
121,72523.45292950491
122,72079.93732767375
123,72365.90038828916
124,69641.55635642001
125,70098.15186316513
126,69793.77216942614
127,70072.14765362017
128,70369.28834194057
129,69458.11418173529
130,70623.11750178947
131,72255.19755985744
132,70445.07709827297
133,71499.80019846123
134,71814.98591081353
135,71178.43335303699
136,69597.18373551345
137,71550.4132518779
138,71287.50822417859
139,70714.20974794686
140,72121.35141126593
141,70091.38670500534
142,71210.27793924283
143,70819.81485147036
144,70053.41600392561
145,69743.4395257727
146,72521.53354530603
147,70678.07672280449
148,70017.72965410809
149,71965.7130316792
150,70628.45869337261
151,70713.17195043738
152,70762.36038778558
153,70496.37996405199
