simulation,pass_km_total_Mkm
0,51516.247355392916
1,51639.487449425265
2,53469.72147357901
3,49392.89030457671
4,50048.4788957941
5,50511.1748375803
6,50185.67947214398
7,50637.762472855655
8,51491.32076401083
9,49903.489887414216
10,52933.86974601001
11,51166.588637672736
12,50629.445689079424
13,50466.035201741644
14,51402.23729919356
15,52258.64195140029
16,53431.91499643279
17,51435.82045506153
18,52667.11304669506
19,50509.14435922846
20,48359.47105103304
21,53495.57047654606
22,50692.566988641156
23,50427.40785456229
24,49403.51434743588
25,50394.33398964368
26,49893.05514878317
27,52149.05978476979
28,51497.94089333349
29,46083.32348866858
30,49749.73242308661
31,50031.21944073225
32,47610.8828849972
33,50479.88700247925
34,50646.466098253964
35,51898.53053046257
36,50021.05257517636
37,51890.80437455832
38,51928.01621128378
39,49673.65629782215
40,52100.400617271785
41,47380.205901604066
42,50292.03191204083
43,51880.74697419713
44,53719.92405355487
45,51643.156596320616
46,50018.45416449684
47,52669.08015067343
48,51017.13030287749
49,50492.082790387496
50,53205.194311390806
51,48785.05642606441
52,49533.15720607675
53,51742.61561440198
54,51726.222441194644
55,52372.801541201974
56,47676.73472772617
57,49450.418315952265
58,51208.15637519148
59,51477.854006793335
60,53137.03374352956
61,49663.356249689394
62,49586.27136327054
63,49244.51448534636
64,48827.838404158174
65,51877.962194178086
66,49039.57826608374
67,54780.053091883594
68,51140.17042357761
69,50805.369261625114
70,52355.6901251359
71,50571.25381008306
72,51700.80529975473
73,51297.43740388432
74,47985.77336196541
75,47967.999902325515
76,48435.521087088564
77,52998.89274187827
78,51188.27981466346
79,51741.25370262404
80,51021.774620243
81,50891.30859774277
82,48193.68995386242
83,52716.790047901035
84,48778.62362841811
85,51773.96493015755
86,51185.10184843973
87,52572.64551091109
88,51629.01221182669
89,48148.67902419523
90,48362.038397134165
91,49338.27566333701
92,49868.54318843541
93,50461.095652852935
94,49337.37001166022
95,49901.59931922112
96,46854.219352980544
97,51372.396336670856
98,48962.0707763337
99,49218.17974511737
100,50211.574504578064
101,47248.44411608451
102,49730.19437234799
103,48343.43794828194
104,51800.74754066285
105,51212.597187067615
106,51209.5020078933
107,51717.83097631773
108,54193.24010399713
109,50382.87739389821
110,48654.856753304004
111,48480.63012773611
112,50466.857000808144
113,50449.13170103848
114,50513.771389103575
115,52565.65741231439
116,51888.95556962766
117,48093.560121165334
118,50601.0919115022
119,50207.15955481577
120,50072.281515777526
121,53772.38921540633
122,52876.743639085114
123,53492.43612806871
124,48350.03328949223
125,49004.902017640765
126,48672.98392756122
127,49097.55141307755
128,49659.114310636076
129,47941.136486992764
130,50071.8503268589
131,52999.8870980289
132,49883.78237618176
133,51832.378042948854
134,52503.98966002477
135,51197.86710745401
136,48111.93832959452
137,51755.56631584484
138,51439.162352738065
139,50278.11357056823
140,52887.06004208448
141,49113.24364630237
142,51263.97004951864
143,50531.80497096247
144,49082.111158402644
145,48366.52255944571
146,53620.46864700833
147,50226.06540641596
148,48974.85728778081
149,52594.97142551037
150,50045.014419952044
151,50351.02557661344
152,50561.04997292753
153,50063.92385355699
154,49938.514817799594
155,48693.68200576494
156,48703.022156111285
157,50069.90790615446
158,53256.875567469775
159,49579.116220417134
160,51607.31028382695
161,47113.428315952166
162,51610.933364235185
163,48421.473713632884
164,50543.85283366434
165,48339.96818199671
166,51519.02886582128
167,50990.674144929915
168,48915.530613131894
169,52470.08614388742
170,51161.19182139247
171,50082.36237606857
172,51225.32397681967
173,50866.17650994096
174,49530.10829209703
175,51749.32556726964
176,47346.241903031296
177,49535.04186668807
178,51213.91229594075
179,49958.13360674345
180,49091.82864981232
181,51121.20922365342
182,50749.67658888521
183,53451.7880971633
184,52939.76263263478
185,49174.347248207254
186,53572.38528260814
187,48961.52665940393
188,54099.100063986254
189,48527.92397210875
190,50550.07787336331
191,49198.727449446196
192,53247.049231553574
193,47463.33472273224
194,51490.89588492282
195,49863.53737279123
196,51255.49483548069
197,52309.33057394554
198,50744.05325999655
199,50305.66795679724
200,52607.238105916826
201,48632.553748125894
202,51389.339359335434
203,49298.22853140596
204,47980.97708693287
205,49802.54331754248
206,47847.56109411541
207,48109.60807328922
208,52641.58331726573
209,52894.40952738096
210,50779.87893520515
211,51146.813116747144
212,52472.02761325528
213,48466.43463520159
214,51019.544077771796
215,49735.6695940939
216,52304.02722447323
217,51142.519713615955
218,51500.87113564095
219,51058.1423548511
220,51688.42182122264
221,49465.43925166
222,49199.309077587626
223,50840.9679778974
224,53298.377942373365
225,50694.974314942476
226,50802.64008150197
227,51141.81837601599
228,50550.31410253854
229,48846.93088963823
230,53512.89506089314
231,48415.9295522225
232,50675.4107502081
233,53863.95901953079
234,50761.069761428465
235,50991.11859672278
236,49883.10332074649
237,47977.811775879585
238,54436.10227894346
239,48409.28179242227
240,52039.33558397106
241,50180.750297590115
242,50235.147332855086
243,51117.869576409736
244,50982.92686677123
245,50898.63355018027
246,52020.155725291734
247,53778.545397956295
248,52802.93345161417
249,49601.465765016816
250,51623.50560664078
251,52686.74463052078
252,49166.173438517195
253,51060.3641369516
254,49440.54483632226
255,49280.7383760763
256,50107.933334576766
257,50784.02627635692
258,52373.99787369374
259,51405.223087567174
260,53055.35559809589
261,50028.318275282305
262,53491.64930064304
263,51554.042296512795
264,49624.478836132745
265,50194.74965431139
266,49719.829455079205
267,48878.29418755713
268,48639.22732436684
269,51974.36065856111
270,47248.412538666686
271,53360.10866147838
272,49135.87433751859
273,48322.880048753475
274,49468.64954786735
275,52366.190891664766
276,49339.268691885125
277,50396.5792833304
278,51706.51045151753
279,52200.48235661673
280,50447.06455876294
281,51536.03226652175
282,49397.07241281026
283,51692.42424231349
284,48370.966668387024
285,50657.15634092669
286,53692.88632888486
287,52099.79772437908
288,49997.728918712055
289,48224.21893602789
290,50290.45937083217
291,52037.909698224896
292,50517.81920919751
293,51353.71446341771
