simulation,pass_km_total_Mkm
0,31369.051403156085
1,31737.96392678086
2,34125.58292292819
3,29862.475808545943
4,30620.38242625125
5,30900.404275743498
6,29956.64231738604
7,31122.4582033575
8,32376.33182817189
9,30336.513959824173
10,33033.86884464637
11,31519.651359848565
12,30665.078958287497
13,30205.508294784104
14,31612.235207816062
15,32460.180632396226
16,33733.813113039236
17,31607.546971980653
18,32628.83836419503
19,30629.73146315624
20,28716.893885201545
21,33442.7302031531
22,31031.413266984902
23,30221.023638226838
24,29616.863166372637
25,30833.886245374542
26,30153.761885642656
27,32552.116184805473
28,31427.38709014495
29,27237.299767989884
30,30003.552141320517
31,29912.19660127843
32,28190.149305522635
33,30547.635112164004
34,30973.697767676644
35,32182.246456474448
36,30556.559305169063
37,31851.92224233378
38,32333.568631976927
39,29944.891742202424
40,32312.35297999646
41,27967.56012273912
42,30583.09806560411
43,31794.830079466297
44,34020.057172180364
45,32066.458021823495
46,30026.135966873753
47,32782.22560175599
48,31085.930040208357
49,30552.437101897598
50,34480.249506803084
51,29142.20377647785
52,30822.02477488276
53,32045.65176832357
54,32512.157527204392
55,32466.523171981935
56,28060.873533203376
57,29703.743400281648
58,31778.753820212856
59,32074.138587512876
60,33209.988530478746
61,29864.15955542374
62,30388.17882247168
63,29890.64318144441
64,28678.774557167624
65,32632.598896711334
66,29633.30550969158
67,34798.16707864195
68,31475.63365767645
69,30754.343381345003
70,32649.587787755845
71,30690.272283231105
72,31814.639867125275
73,32084.75614322827
74,28577.967514631477
75,28496.793492322402
76,29453.28427835502
77,33272.63590782104
78,32158.638567973125
79,31673.298384555634
80,31186.09358599485
81,31005.736044573343
82,29031.55225021073
83,32545.44317184576
84,29328.075094865533
85,31821.427742493783
86,31633.469625796526
87,33043.68897292912
88,31663.734055899946
89,28533.79216545226
90,29150.428712123572
91,29677.573925413468
92,30629.51127745022
93,30552.075262397626
94,29443.690687034137
95,29558.29424787519
96,27415.39543522097
97,31639.874502794275
98,29878.3504258577
99,30468.795069365882
100,30554.31554811197
101,27429.58373556679
102,30853.01585250925
103,28776.074074460666
104,32408.874856553706
105,31828.25570422154
106,31692.993445071315
107,32069.069832759797
108,34395.20145034281
109,30899.11010435148
110,28787.43916623861
111,28970.49443229975
112,30888.10209101135
113,30708.88466564219
114,30986.83270431477
115,32530.23989069694
116,32260.460613558338
117,29275.67939902082
118,31076.404361383422
119,31093.556206632064
120,30293.25729578883
121,33735.29874139146
122,32973.9909301943
123,33600.010352556244
124,28737.888200282494
125,30057.007362370467
126,29014.338968926837
127,29750.471717008302
128,29873.425092950987
129,28485.994517301104
130,31100.496774482977
131,34128.25598049131
132,29803.614457661068
133,32097.371427247755
134,32524.525691910167
135,31042.40127428998
136,28865.170148129986
137,31826.506964898945
138,31638.777508880536
139,30709.337126700048
140,33697.979292193784
141,29654.020216166027
142,31280.080433859523
143,30419.03836414963
144,29586.804846865736
145,28888.461562113043
146,33676.069758247984
147,30864.33418953282
148,29633.564839049843
149,33304.380278829405
150,31224.893999748783
151,30908.07026227987
152,30890.744412970773
153,29599.1452053456
154,30296.915373055286
155,29058.92096327157
156,29428.11839956128
157,30659.79157085588
158,33384.80979394197
159,30313.88187523752
160,32460.41042458201
161,28126.98090939644
162,31719.96286474117
163,29146.536222052924
164,30585.367349863252
165,28272.017686689225
166,32284.01267793961
167,31591.330133221123
168,29769.267827205105
169,32290.303296088772
170,31550.139158666367
171,30084.44353124935
172,31465.742777629734
173,30808.96209242687
174,30122.07328111144
175,32149.960182945917
176,28099.892941495087
177,30275.341411557358
178,32076.545624031824
179,31084.960548278472
180,30213.91451167335
181,31596.14045477077
182,31093.982275662347
183,33567.99488805371
184,33028.657877782425
185,29855.59582451128
186,34158.366514872236
187,29744.314123439864
188,33990.76781262158
189,28649.010103340963
190,31255.671526386413
191,29542.208491446345
192,33440.438192014844
193,27846.969148791963
